epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,1372,1.30028,0.82965,1.2155,0.8949,0.77152,0.86442,0.52925,1.34338,0.84545,1.3348,0.000243938,0.000243938,0.000243938
135,1382,1.34468,0.85977,1.22584,0.88343,0.79719,0.8663,0.5349,1.33366,0.80631,1.32061,0.000240404,0.000240404,0.000240404
136,1392.06,1.26864,0.79636,1.18651,0.89177,0.77895,0.85907,0.52295,1.36396,0.81112,1.35146,0.000236869,0.000236869,0.000236869
137,1402.21,1.30536,0.82673,1.21118,0.8945,0.79249,0.86503,0.53616,1.32274,0.81409,1.31858,0.000233335,0.000233335,0.000233335
138,1412.54,1.3164,0.81467,1.20743,0.88456,0.78485,0.86132,0.53109,1.34527,0.81973,1.3339,0.000229801,0.000229801,0.000229801
139,1422.94,1.29926,0.8016,1.18634,0.86518,0.79188,0.86215,0.53307,1.3351,0.78793,1.33265,0.000226267,0.000226267,0.000226267
140,1432.98,1.29364,0.80858,1.2042,0.88227,0.80382,0.8646,0.54187,1.3108,0.79214,1.31154,0.000222732,0.000222732,0.000222732
141,1443.09,1.28729,0.80914,1.21661,0.91023,0.79424,0.86334,0.53932,1.31141,0.79042,1.31705,0.000219198,0.000219198,0.000219198
142,1453.41,1.2808,0.80406,1.20658,0.85867,0.81377,0.86458,0.5328,1.30906,0.79507,1.30848,0.000215664,0.000215664,0.000215664
143,1463.83,1.30249,0.81039,1.21283,0.90578,0.78658,0.86834,0.54452,1.29989,0.78808,1.30788,0.000212129,0.000212129,0.000212129
144,1473.75,1.29171,0.80871,1.18928,0.88969,0.7765,0.86603,0.53258,1.33745,0.80319,1.33625,0.000208595,0.000208595,0.000208595
145,1483.79,1.32211,0.82459,1.1824,0.86274,0.80667,0.86672,0.53023,1.3454,0.81721,1.32829,0.000205061,0.000205061,0.000205061
146,1494.18,1.30811,0.81259,1.19473,0.84634,0.79333,0.86113,0.53522,1.3268,0.80015,1.32329,0.000201527,0.000201527,0.000201527
147,1504.42,1.266,0.80273,1.2002,0.87682,0.80278,0.86882,0.53396,1.3573,0.80642,1.32567,0.000197992,0.000197992,0.000197992
148,1514.61,1.2582,0.78295,1.1788,0.88455,0.78598,0.85704,0.53946,1.29901,0.81391,1.30245,0.000194458,0.000194458,0.000194458
149,1524.61,1.28461,0.80311,1.18458,0.85349,0.82647,0.87374,0.53655,1.33387,0.80764,1.32125,0.000190924,0.000190924,0.000190924
150,1534.78,1.28857,0.79424,1.19243,0.86808,0.8102,0.87015,0.53998,1.32807,0.78451,1.31875,0.000187389,0.000187389,0.000187389
